051 dc81 2022 03 16 12 41 33
time, latitude, longitude, accuracy, private
220.7,52.020017,4.268694,3.0,P
221.8,52.020021,4.268684,3.0,P
222.8,52.020026,4.268670,3.0,P
223.7,52.020033,4.268650,3.0,P
224.8,52.020040,4.268625,3.0,P
225.7,52.020047,4.268605,3.0,P
227.0,52.020052,4.268585,3.0,P
228.7,52.020068,4.268546,4.0,P
230.0,52.020081,4.268532,4.0,P
231.7,52.020097,4.268529,3.0,P
232.7,52.020100,4.268533,3.0,P
233.7,52.020087,4.268543,3.0,P
234.8,52.020074,4.268561,3.0,P
235.7,52.020063,4.268586,3.0,P
236.7,52.020057,4.268603,3.0,P
237.9,52.020049,4.268621,3.0,P
238.7,52.020038,4.268641,3.0,P
239.7,52.020026,4.268665,3.0,P
240.7,52.020017,4.268682,3.0,P
241.7,52.020010,4.268699,3.0,P
242.9,52.020007,4.268708,3.0,P
243.8,52.020009,4.268707,3.0,P
244.8,52.020020,4.268699,3.0,P
245.7,52.020032,4.268681,3.0,P
246.7,52.020040,4.268661,3.0,P
247.7,52.020048,4.268639,4.0,P
248.7,52.020060,4.268626,4.0,P
249.7,52.020070,4.268611,4.0,P
250.8,52.020072,4.268592,4.0,P
251.7,52.020080,4.268574,4.0,P
252.7,52.020082,4.268558,4.0,P
253.8,52.020087,4.268541,4.0,P
254.7,52.020091,4.268525,4.0,P
255.7,52.020093,4.268525,3.0,P
256.7,52.020092,4.268536,3.0,P
257.7,52.020094,4.268546,3.0,P
258.7,52.020081,4.268563,3.0,P
259.7,52.020078,4.268576,3.0,P
260.7,52.020073,4.268595,3.0,P
261.7,52.020058,4.268622,3.0,P
262.8,52.020049,4.268640,3.0,P
263.7,52.020041,4.268651,3.0,P
264.7,52.020031,4.268665,3.0,P
265.7,52.020024,4.268676,3.0,P
266.7,52.020020,4.268682,3.0,P
267.7,52.020021,4.268686,3.0,P
268.7,52.020027,4.268678,3.0,P
269.7,52.020029,4.268673,3.0,P
270.7,52.020036,4.268655,3.0,P
271.7,52.020042,4.268636,3.0,P
272.7,52.020050,4.268618,3.0,P
273.7,52.020054,4.268593,3.0,P
274.7,52.020060,4.268568,3.0,P
275.7,52.020065,4.268544,4.0,P
276.7,52.020069,4.268527,4.0,P
277.7,52.020075,4.268512,4.0,P
279.0,52.020081,4.268501,4.0,P
280.8,52.020085,4.268513,3.0,P
282.0,52.020083,4.268532,3.0,P
283.8,52.020072,4.268581,3.0,P
284.7,52.020070,4.268589,3.0,P
285.8,52.020067,4.268600,3.0,P
286.7,52.020064,4.268612,3.0,P
287.8,52.020061,4.268625,4.0,P
288.9,52.020055,4.268635,4.0,P
290.8,52.020040,4.268666,4.0,P
291.7,52.020033,4.268675,4.0,P
