010 dc81 2022 03 16 12 12 56
time,latitude,longitude,accuracy,private
306.0,52.020105,4.268677,4.0,P
307.1,52.020105,4.268677,4.0,P
308.1,52.020105,4.268677,4.0,P
309.1,52.020105,4.268677,4.0,P
310.1,52.020105,4.268677,4.0,P
311.1,52.020105,4.268677,4.0,P
312.1,52.020105,4.268677,4.0,P
313.1,52.020105,4.268677,4.0,P
314.1,52.020105,4.268677,4.0,P
315.2,52.020105,4.268677,4.0,P
316.1,52.020105,4.268677,4.0,P
317.1,52.020105,4.268677,4.0,P
318.1,52.020105,4.268677,4.0,P
319.1,52.020105,4.268677,6.0,P
320.3,52.020105,4.268677,4.0,P
321.0,52.020105,4.268677,4.0,P
322.1,52.020105,4.268677,4.0,P
323.0,52.020105,4.268677,4.0,P
324.1,52.020105,4.268677,4.0,P
325.0,52.020105,4.268677,4.0,P
326.1,52.020105,4.268677,4.0,P
327.1,52.020105,4.268677,4.0,P
328.1,52.020105,4.268677,4.0,P
329.1,52.020105,4.268677,4.0,P
330.0,52.020105,4.268677,4.0,P
331.1,52.020105,4.268677,4.0,P
332.0,52.020105,4.268677,4.0,P
333.1,52.020105,4.268677,4.0,P
334.1,52.020105,4.268677,4.0,P
335.1,52.020105,4.268677,4.0,P
336.1,52.020105,4.268677,4.0,P
337.1,52.020105,4.268677,4.0,P
338.1,52.020105,4.268677,4.0,P
339.1,52.020105,4.268677,4.0,P
340.1,52.020105,4.268677,4.0,P
341.1,52.020105,4.268677,4.0,P
342.1,52.020105,4.268677,4.0,P
343.2,52.020105,4.268677,4.0,P
344.1,52.020105,4.268677,4.0,P
345.1,52.020105,4.268677,4.0,P
346.1,52.020105,4.268677,4.0,P
347.1,52.020105,4.268677,4.0,P
348.1,52.020105,4.268677,4.0,P
349.1,52.020105,4.268677,4.0,P
350.1,52.020105,4.268677,4.0,P
351.0,52.020105,4.268677,4.0,P
352.1,52.020105,4.268677,4.0,P
353.2,52.020105,4.268677,4.0,P
354.0,52.020105,4.268677,4.0,P
355.1,52.020105,4.268677,4.0,P
356.1,52.020105,4.268677,4.0,P
357.0,52.020105,4.268677,4.0,P
358.1,52.020105,4.268677,4.0,P
359.0,52.020105,4.268677,4.0,P
360.1,52.020105,4.268677,4.0,P
361.2,52.020105,4.268677,4.0,P
362.1,52.020105,4.268677,4.0,P
363.1,52.020105,4.268677,4.0,P
364.0,52.020105,4.268677,4.0,P
365.1,52.020105,4.268677,4.0,P
366.1,52.020105,4.268677,4.0,P
367.1,52.020105,4.268677,4.0,P
368.0,52.020105,4.268677,4.0,P
369.1,52.020105,4.268677,4.0,P
370.1,52.020105,4.268677,4.0,P
371.1,52.020105,4.268677,4.0,P
372.1,52.020105,4.268677,4.0,P
373.1,52.020105,4.268677,4.0,P
374.1,52.020117,4.268698,1.5,P
375.2,52.020118,4.268698,1.5,P
376.1,52.020118,4.268698,1.5,P
377.3,52.020118,4.268698,1.5,P
378.1,52.020118,4.268698,2.0,P
379.0,52.020118,4.268698,2.0,P
380.1,52.020117,4.268697,2.0,P
381.1,52.020117,4.268697,2.0,P
382.2,52.020117,4.268697,2.0,P
383.0,52.020117,4.268697,2.0,P
384.1,52.020117,4.268696,2.0,P
385.0,52.020117,4.268696,2.0,P
386.0,52.020118,4.268696,2.0,P
387.0,52.020118,4.268696,2.0,P
388.1,52.020118,4.268696,2.0,P
389.0,52.020118,4.268696,2.0,P
390.1,52.020117,4.268696,2.0,P
391.0,52.020118,4.268696,2.0,P
392.1,52.020118,4.268696,2.0,P
393.1,52.020117,4.268696,2.0,P
394.0,52.020117,4.268696,3.0,P
395.1,52.020117,4.268696,3.0,P
396.1,52.020117,4.268696,3.0,P
397.2,52.020117,4.268696,3.0,P
398.0,52.020117,4.268696,3.0,P
399.1,52.020117,4.268697,3.0,P
400.0,52.020117,4.268697,3.0,P
401.1,52.020117,4.268697,3.0,P
402.1,52.020117,4.268697,3.0,P
403.0,52.020117,4.268697,3.0,P
404.1,52.020118,4.268697,3.0,P
405.0,52.020118,4.268696,3.0,P
406.0,52.020119,4.268695,3.0,P
407.2,52.020119,4.268695,3.0,P
408.0,52.020120,4.268695,3.0,P
409.0,52.020120,4.268696,3.0,P
410.3,52.020121,4.268696,3.0,P
411.0,52.020121,4.268696,16.0,P
412.0,52.020121,4.268696,16.0,P
413.1,52.020121,4.268696,16.0,P
414.1,52.020121,4.268696,16.0,P
415.1,52.020121,4.268695,16.0,P
416.1,52.020121,4.268696,16.0,P
417.1,52.020121,4.268696,16.0,P
418.4,52.020121,4.268696,16.0,P
420.1,52.020121,4.268696,16.0,P
421.0,52.020120,4.268697,16.0,P
422.1,52.020120,4.268697,16.0,P
423.1,52.020121,4.268697,16.0,P
424.1,52.020121,4.268697,16.0,P
425.1,52.020121,4.268697,16.0,P
426.1,52.020121,4.268697,16.0,P
427.1,52.020121,4.268698,16.0,P
428.3,52.020121,4.268698,16.0,P
429.1,52.020121,4.268698,16.0,P
430.1,52.020121,4.268698,16.0,P
431.1,52.020121,4.268698,16.0,P
432.2,52.020121,4.268698,16.0,P
433.1,52.020121,4.268697,16.0,P
434.1,52.020121,4.268697,16.0,P
435.1,52.020121,4.268697,16.0,P
436.1,52.020122,4.268697,16.0,P
437.1,52.020122,4.268696,16.0,P
438.1,52.020122,4.268696,16.0,P
439.3,52.020122,4.268696,16.0,P
440.0,52.020122,4.268696,16.0,P
441.1,52.020122,4.268696,16.0,P
442.0,52.020122,4.268696,16.0,P
443.1,52.020122,4.268696,16.0,P
444.0,52.020122,4.268696,16.0,P
445.1,52.020122,4.268697,16.0,P
446.1,52.020122,4.268697,16.0,P
447.1,52.020122,4.268696,16.0,P
448.1,52.020122,4.268696,16.0,P
449.2,52.020122,4.268696,16.0,P
450.0,52.020122,4.268696,16.0,P
451.2,52.020123,4.268695,16.0,P
452.1,52.020123,4.268695,16.0,P
453.1,52.020123,4.268695,16.0,P
454.1,52.020123,4.268695,16.0,P
455.2,52.020123,4.268695,16.0,P
456.1,52.020123,4.268694,16.0,P
457.4,52.020123,4.268694,16.0,P
458.1,52.020123,4.268694,16.0,P
459.1,52.020123,4.268694,16.0,P
460.1,52.020123,4.268694,16.0,P
461.1,52.020123,4.268694,16.0,P
462.2,52.020123,4.268694,16.0,P
463.1,52.020123,4.268694,16.0,P
464.0,52.020123,4.268693,16.0,P
465.1,52.020123,4.268693,16.0,P
466.2,52.020123,4.268693,16.0,P
467.1,52.020123,4.268693,16.0,P
468.0,52.020124,4.268693,16.0,P
469.0,52.020124,4.268693,16.0,P
470.1,52.020124,4.268693,16.0,P
471.0,52.020124,4.268693,16.0,P
472.1,52.020124,4.268693,16.0,P
473.1,52.020124,4.268693,16.0,P
474.0,52.020124,4.268693,16.0,P
475.1,52.020124,4.268692,16.0,P
476.0,52.020124,4.268692,16.0,P
477.1,52.020124,4.268692,16.0,P
478.0,52.020124,4.268692,16.0,P
479.1,52.020124,4.268692,16.0,P
480.1,52.020124,4.268692,16.0,P
481.1,52.020124,4.268692,16.0,P
482.1,52.020124,4.268692,16.0,P
483.3,52.020124,4.268692,16.0,P
484.1,52.020124,4.268691,16.0,P
485.1,52.020124,4.268691,16.0,P
486.1,52.020125,4.268691,16.0,P
487.2,52.020125,4.268691,16.0,P
488.1,52.020125,4.268691,16.0,P
489.0,52.020125,4.268691,16.0,P
490.1,52.020125,4.268692,16.0,P
491.1,52.020125,4.268692,16.0,P
492.1,52.020125,4.268692,16.0,P
493.1,52.020125,4.268692,16.0,P
494.0,52.020125,4.268691,16.0,P
495.1,52.020125,4.268691,16.0,P
496.0,52.020125,4.268691,16.0,P
497.0,52.020125,4.268691,16.0,P
498.1,52.020125,4.268691,16.0,P
499.1,52.020125,4.268691,16.0,P
500.1,52.020125,4.268690,16.0,P
501.1,52.020125,4.268690,16.0,P
502.1,52.020125,4.268690,16.0,P
503.0,52.020126,4.268690,16.0,P
504.2,52.020126,4.268689,16.0,P
505.2,52.020126,4.268689,16.0,P
506.3,52.020126,4.268689,16.0,P
507.1,52.020126,4.268689,16.0,P
508.2,52.020126,4.268689,16.0,P
509.1,52.020127,4.268689,16.0,P
510.1,52.020127,4.268690,16.0,P
511.0,52.020127,4.268690,16.0,P
512.2,52.020127,4.268690,16.0,P
513.1,52.020127,4.268690,16.0,P
514.2,52.020127,4.268690,16.0,P
515.1,52.020127,4.268690,16.0,P
516.3,52.020127,4.268690,16.0,P
517.1,52.020127,4.268690,16.0,P
518.1,52.020127,4.268690,16.0,P
519.1,52.020127,4.268689,16.0,P
520.2,52.020127,4.268689,16.0,P
521.2,52.020127,4.268689,16.0,P
522.1,52.020127,4.268689,16.0,P
523.0,52.020127,4.268689,16.0,P
524.1,52.020127,4.268689,16.0,P
525.1,52.020127,4.268689,16.0,P
526.1,52.020127,4.268689,16.0,P
527.1,52.020128,4.268689,16.0,P
528.1,52.020128,4.268689,16.0,P
529.1,52.020128,4.268689,16.0,P
530.1,52.020128,4.268689,16.0,P
531.1,52.020128,4.268689,16.0,P
532.1,52.020128,4.268688,16.0,P
533.1,52.020128,4.268688,16.0,P
534.1,52.020128,4.268688,16.0,P
535.2,52.020128,4.268688,16.0,P
536.1,52.020128,4.268688,16.0,P
537.1,52.020128,4.268688,2.0,P
538.1,52.020128,4.268688,2.0,P
539.2,52.020128,4.268688,2.0,P
540.1,52.020128,4.268688,2.0,P
541.0,52.020128,4.268688,3.0,P
542.1,52.020128,4.268688,3.0,P
543.1,52.020128,4.268689,3.0,P
544.2,52.020128,4.268689,3.0,P
545.1,52.020128,4.268689,3.0,P
546.1,52.020128,4.268689,3.0,P
547.1,52.020128,4.268688,3.0,P
548.0,52.020128,4.268687,3.0,P
